TransactionID,TransactionDT,TransactionAmt,ProductCD,card1,card2,card3,card4,card5,card6,addr1,addr2,dist1,dist2,P_emaildomain,R_emaildomain,risk_score,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,D15,M1,M2,M3,M4,M5,M6,M7,M8,M9
3000001,381648,113.06,S,4648,248,150,amex,248,debit,204,87,10,,aol.com,,0.186,2,4,3,3,2,2,3,1,1,4,1,3,3,3,-32,0,30,7,14,0,7,0,14,2,,30,14,,2,T,F,T,T,F,T,T,T,T
3000002,7132619,81.81,R,15857,457,150,mastercard,257,credit,299,87,10,,hotmail.com,,0.193,1,2,1,3,4,3,1,2,3,2,4,4,4,2,50,1,1,30,14,14,2,30,14,7,14,7,2,1,1,T,T,F,T,T,T,T,T,T
3000003,9604771,78.08,S,2543,143,150,amex,243,credit,204,87,10,,outlook.com,,0.247,1,3,4,2,4,1,3,2,1,3,2,2,3,2,96,,14,0,14,2,7,0,0,2,,,2,1,0,T,T,T,T,T,F,T,T,T
3000004,1014099,330.09,S,3580,180,150,amex,280,credit,299,87,10,,yahoo.com,,0.303,3,4,4,1,2,2,1,3,1,2,2,1,1,1,-48,0,0,,2,0,14,1,2,30,7,1,14,1,30,T,T,T,T,T,T,T,T,T
3000005,2826793,326.85,H,16488,588,150,mastercard,288,debit,330,87,10,,outlook.com,,0.17,4,2,4,2,3,4,2,1,4,1,1,1,1,2,3,7,7,7,1,,7,0,1,7,0,7,2,,,T,T,F,T,T,F,T,T,F
3000006,1752890,132.75,W,16947,547,150,mastercard,247,credit,204,87,10,,hotmail.com,,0.2,1,2,1,1,4,3,3,2,3,2,3,4,2,3,-39,2,,0,0,7,14,14,0,0,14,1,14,2,1,F,T,T,T,T,T,F,T,T
3000007,9795218,160.42,R,3254,354,150,amex,254,debit,204,87,10,,aol.com,,0.275,3,4,3,1,1,4,3,1,1,3,2,3,2,4,104,30,7,14,0,0,0,30,1,14,0,,2,14,14,T,T,T,T,F,F,T,T,T
3000008,3503795,361.61,W,2370,470,150,mastercard,270,debit,330,87,10,,yahoo.com,,0.34,4,1,2,3,4,2,3,2,1,4,1,4,2,2,-15,7,2,2,,,,1,1,0,30,1,7,2,2,T,T,T,T,T,T,T,T,T
3000009,446208,246.7,H,9698,298,150,mastercard,298,credit,204,87,10,,outlook.com,,0.031,4,1,3,3,1,3,3,4,3,4,3,2,2,4,-22,7,30,30,1,14,14,2,7,14,,0,2,2,1,T,T,F,T,T,T,T,T,T
3000010,5241905,188.02,C,11559,159,150,mastercard,259,debit,191,87,10,,yahoo.com,,0.324,1,2,4,1,4,4,2,4,4,4,2,2,1,1,9,7,1,1,,30,14,7,0,14,1,,0,7,1,T,T,T,T,F,T,T,T,T
3000011,8438808,252.81,S,11397,497,150,visa,297,credit,191,87,10,,yahoo.com,,0.123,2,3,3,3,1,2,2,2,4,2,2,1,4,4,61,14,7,7,0,1,,7,7,,14,30,0,,,T,T,T,T,T,T,T,T,T
3000012,4013539,306.32,H,1193,293,150,visa,293,credit,299,87,10,,outlook.com,,0.01,1,1,4,2,4,2,1,3,4,3,2,4,3,3,32,7,2,,,7,2,,0,7,0,30,14,0,2,T,T,F,T,T,T,T,T,T
3000013,8384867,380.85,C,2319,419,150,mastercard,219,credit,299,87,10,,yahoo.com,,0.158,1,1,3,4,4,2,1,2,1,3,1,1,3,4,40,2,0,14,30,2,0,,7,,7,0,7,2,30,T,F,T,T,T,T,T,T,T
3000014,4861486,298.84,R,6013,113,150,discover,213,credit,191,87,10,,outlook.com,,0.173,1,4,3,2,4,2,3,3,3,3,3,1,2,1,51,30,7,7,14,,1,30,7,30,30,7,7,,0,T,T,T,T,T,F,T,T,T
3000015,7721490,136.36,S,14251,351,150,mastercard,251,debit,330,87,10,,outlook.com,,0.032,2,4,3,3,1,2,3,2,3,2,3,1,2,3,59,0,14,2,30,1,30,,,7,0,,0,14,2,T,T,T,T,T,T,T,T,T
3000016,2080334,115.94,H,12164,264,150,discover,264,debit,204,87,10,,gmail.com,,0.083,4,4,4,3,4,3,1,1,2,2,3,1,2,2,6,14,0,1,0,7,7,30,14,7,2,0,1,2,30,T,F,T,F,T,T,T,T,F
3000017,894595,371.09,C,15877,477,150,amex,277,credit,191,87,10,,gmail.com,,0.19,1,4,3,4,3,4,4,1,1,4,3,3,1,1,-1,30,,,14,14,0,,30,,2,14,0,,,T,T,T,T,F,T,T,T,T
3000018,10231658,88.97,S,15490,590,150,discover,290,debit,191,87,10,,outlook.com,,0.013,4,1,3,3,3,1,4,1,4,4,1,2,3,4,80,7,,0,1,2,14,1,2,7,30,7,0,0,30,T,T,T,T,F,T,T,T,T
3000019,3528199,25.2,W,6189,289,150,mastercard,289,credit,191,87,10,,gmail.com,,0.078,2,2,1,3,4,3,3,1,3,3,4,2,4,4,-14,2,14,,14,7,7,2,,1,30,1,14,7,1,T,T,T,T,T,T,T,T,T
3000020,3604393,287.99,H,2430,530,150,mastercard,230,credit,191,87,10,,yahoo.com,,0.197,2,1,4,3,3,4,1,3,4,3,4,1,1,2,-3,30,2,1,30,0,7,0,,30,30,,0,7,1,T,F,T,T,T,T,T,T,T
3000021,560916,322.53,C,1948,548,150,mastercard,248,credit,299,87,10,,aol.com,,0.119,3,4,3,1,4,3,2,1,4,3,3,4,3,4,5,2,1,7,,7,0,1,7,14,2,14,2,30,2,T,T,T,T,T,T,T,T,T
3000022,3111461,235.05,W,13969,569,150,mastercard,269,debit,191,87,10,,hotmail.com,,0.262,1,3,4,1,3,2,1,3,3,4,2,2,2,3,7,14,2,,1,2,,7,,2,30,,2,,0,T,T,T,T,T,T,T,T,T
