TransactionID,id_01,id_02,id_05,id_06,id_11,id_12,id_15,id_30,id_31,id_33,DeviceType,DeviceInfo
3000001,-48,87673,7,-6,92.9,Found,New,Windows 10,firefox 57.0,2208x1242,desktop,Windows
3000008,-28,85080,16,-18,96.8,NotFound,New,Windows 10,ie 11.0 for desktop,1334x750,desktop,MacOS
3000023,-9,13978,26,-15,96.2,NotFound,New,Mac OS X 10_13,mobile safari 11.0,1280x800,desktop,rv:11.0
3000024,-17,15896,23,-28,94.8,NotFound,Unknown,Windows 10,firefox 57.0,1334x750,desktop,rv:11.0
3000027,-18,74233,26,-9,98.1,Found,Found,Windows 10,firefox 57.0,1920x1080,mobile,iOS Device
3000028,-2,86918,2,-25,99.5,NotFound,Found,Android 7.0,ie 11.0 for desktop,2208x1242,mobile,iOS Device
3000029,-46,44213,3,-13,96.8,NotFound,Found,iOS 11.1.2,ie 11.0 for desktop,1920x1080,desktop,MacOS
3000031,-25,66799,11,-23,93.9,Found,Found,iOS 11.1.2,chrome 62.0,2208x1242,desktop,Windows
3000032,-26,62621,1,-10,93.9,NotFound,Found,Windows 10,ie 11.0 for desktop,1920x1080,desktop,Windows
3000035,-49,48303,17,-12,93.7,Found,Unknown,Windows 10,chrome 62.0,2208x1242,desktop,rv:11.0
3000037,-11,55805,7,0,98.7,Found,Found,Mac OS X 10_13,mobile safari 11.0,1334x750,desktop,rv:11.0
3000039,-38,3482,14,-20,94.2,NotFound,Unknown,iOS 11.1.2,firefox 57.0,1280x800,desktop,Windows
3000042,-21,41213,5,-18,96.9,NotFound,Unknown,Windows 10,ie 11.0 for desktop,2208x1242,desktop,Windows
3000043,-13,10572,1,-17,93.4,Found,Unknown,Windows 10,chrome 62.0,1280x800,mobile,iOS Device
3000044,-22,79352,21,-8,98.7,Found,Unknown,Windows 10,firefox 57.0,1280x800,desktop,Windows
3000048,-9,44420,18,-3,99.7,Found,New,iOS 11.1.2,firefox 57.0,2208x1242,desktop,rv:11.0
3000059,-1,10567,0,-12,90.7,NotFound,New,Windows 10,chrome 62.0,1280x800,desktop,rv:11.0
3000062,-18,18499,20,-4,93.9,Found,Found,iOS 11.1.2,mobile safari 11.0,2208x1242,desktop,Windows
3000074,-24,44426,11,-22,95.9,NotFound,New,Android 7.0,chrome 62.0,1920x1080,desktop,MacOS
3000076,-47,16176,13,-16,93.8,NotFound,Found,iOS 11.1.2,mobile safari 11.0,1920x1080,desktop,Windows
3000078,-20,64979,3,-2,94.1,Found,New,Mac OS X 10_13,ie 11.0 for desktop,1920x1080,mobile,iOS Device
3000081,-7,46258,29,-9,91.3,Found,Unknown,Mac OS X 10_13,chrome 62.0,2208x1242,desktop,MacOS
3000089,-14,20249,1,-25,92.6,Found,Unknown,Android 7.0,chrome 62.0,2208x1242,desktop,Windows
3000090,-36,64192,25,-6,93.8,Found,Found,iOS 11.1.2,ie 11.0 for desktop,1280x800,desktop,rv:11.0
3000095,-20,2276,5,-17,95.0,NotFound,Found,Mac OS X 10_13,ie 11.0 for desktop,1920x1080,mobile,iOS Device
3000099,-1,52435,2,-13,94.7,Found,Found,Android 7.0,chrome 62.0,1920x1080,desktop,MacOS
3000100,-7,82087,10,-1,99.7,Found,New,Mac OS X 10_13,mobile safari 11.0,1920x1080,desktop,Windows
3000102,-16,51506,6,-24,95.3,Found,Unknown,iOS 11.1.2,firefox 57.0,1920x1080,mobile,iOS Device
3000104,-22,79005,18,-14,90.9,NotFound,Found,Android 7.0,mobile safari 11.0,1334x750,desktop,rv:11.0
3000119,-8,58243,4,-28,91.4,NotFound,Found,Android 7.0,mobile safari 11.0,1280x800,desktop,rv:11.0
3000120,-4,74886,8,-29,96.3,Found,Unknown,Windows 10,ie 11.0 for desktop,1920x1080,desktop,MacOS
3000122,-47,78874,21,-2,98.4,Found,Unknown,Windows 10,chrome 62.0,1334x750,desktop,Windows
3000123,-14,33846,24,-16,90.2,NotFound,New,Windows 10,chrome 62.0,1280x800,desktop,Windows
3000124,-49,78718,7,-15,93.9,NotFound,Found,Android 7.0,chrome 62.0,1920x1080,mobile,iOS Device
3000127,-44,32079,23,-17,98.7,NotFound,New,Windows 10,firefox 57.0,1280x800,mobile,iOS Device
3000129,-2,36361,22,0,96.1,Found,Unknown,Windows 10,ie 11.0 for desktop,1920x1080,desktop,rv:11.0
3000131,-32,7202,4,-19,92.8,Found,Unknown,iOS 11.1.2,ie 11.0 for desktop,1334x750,desktop,MacOS
3000134,-19,9745,19,-7,93.6,NotFound,Unknown,Android 7.0,ie 11.0 for desktop,1280x800,desktop,MacOS
3000142,-24,35987,26,-21,96.5,NotFound,Unknown,iOS 11.1.2,firefox 57.0,1334x750,mobile,iOS Device
3000143,-37,19910,3,-25,92.1,NotFound,Found,Android 7.0,ie 11.0 for desktop,1920x1080,desktop,rv:11.0
3000145,-14,30423,0,0,90.2,Found,New,Android 7.0,mobile safari 11.0,2208x1242,desktop,rv:11.0
3000146,-30,53108,21,-24,97.1,NotFound,Unknown,Mac OS X 10_13,chrome 62.0,1920x1080,mobile,iOS Device
3000147,-47,25762,4,-29,92.3,Found,Found,Mac OS X 10_13,mobile safari 11.0,1280x800,desktop,rv:11.0
3000153,-46,45267,13,-27,96.2,Found,Unknown,iOS 11.1.2,firefox 57.0,2208x1242,desktop,Windows
3000156,-22,40054,18,-7,90.1,NotFound,New,iOS 11.1.2,ie 11.0 for desktop,2208x1242,desktop,Windows
3000160,-33,73623,30,-12,96.8,Found,Unknown,iOS 11.1.2,ie 11.0 for desktop,1280x800,desktop,Windows
3000165,-13,58127,16,0,96.5,NotFound,Found,iOS 11.1.2,mobile safari 11.0,1280x800,desktop,MacOS
3000166,-27,2296,2,-19,90.3,Found,New,Mac OS X 10_13,firefox 57.0,1334x750,desktop,Windows
3000168,-17,47081,7,-12,90.4,NotFound,Found,Android 7.0,firefox 57.0,1280x800,desktop,rv:11.0
3000170,-29,75647,30,-16,96.4,NotFound,New,iOS 11.1.2,chrome 62.0,1334x750,desktop,Windows
3000179,-34,54581,14,-10,99.1,Found,Unknown,iOS 11.1.2,chrome 62.0,2208x1242,mobile,iOS Device
3000187,-33,2292,3,-18,99.8,Found,Found,Windows 10,chrome 62.0,1334x750,mobile,iOS Device
3000192,-9,7770,9,-27,92.7,NotFound,Found,Android 7.0,mobile safari 11.0,2208x1242,desktop,rv:11.0
3000193,-15,34099,28,-2,97.6,NotFound,Found,Android 7.0,chrome 62.0,1280x800,desktop,rv:11.0
3000195,-45,66006,5,-16,91.9,Found,New,Android 7.0,mobile safari 11.0,2208x1242,desktop,rv:11.0
3000196,-10,72252,3,-30,98.2,Found,Unknown,Mac OS X 10_13,chrome 62.0,1280x800,desktop,MacOS
3000198,-41,73286,29,-1,94.2,Found,New,Windows 10,mobile safari 11.0,1920x1080,desktop,rv:11.0
3000200,-14,64413,1,-29,93.1,NotFound,New,Mac OS X 10_13,ie 11.0 for desktop,1280x800,desktop,Windows
3000201,-15,12425,15,-27,94.5,Found,Found,iOS 11.1.2,chrome 62.0,2208x1242,desktop,MacOS
3000203,-39,8044,2,-2,99.0,NotFound,Found,iOS 11.1.2,mobile safari 11.0,2208x1242,desktop,MacOS
3000206,-2,83223,29,-22,98.4,Found,Found,iOS 11.1.2,chrome 62.0,1920x1080,desktop,rv:11.0
3000211,-46,35567,10,-8,96.1,NotFound,Found,iOS 11.1.2,mobile safari 11.0,1280x800,desktop,MacOS
3000214,-29,60666,4,0,90.1,NotFound,Found,Mac OS X 10_13,chrome 62.0,1334x750,mobile,iOS Device
3000215,-36,87424,4,-19,95.0,Found,Unknown,Android 7.0,ie 11.0 for desktop,1334x750,desktop,rv:11.0
3000225,-48,31815,22,-16,96.5,NotFound,New,Windows 10,firefox 57.0,1920x1080,mobile,iOS Device
3000228,-13,4346,3,-11,92.1,NotFound,Unknown,Mac OS X 10_13,mobile safari 11.0,1280x800,mobile,iOS Device
3000233,-5,24345,1,-17,96.9,NotFound,Unknown,iOS 11.1.2,ie 11.0 for desktop,1280x800,mobile,iOS Device
3000239,-33,24373,8,-12,91.0,NotFound,Found,Mac OS X 10_13,firefox 57.0,1334x750,mobile,iOS Device
3000241,-45,55994,26,-3,91.2,NotFound,Unknown,Windows 10,ie 11.0 for desktop,1920x1080,mobile,iOS Device
3000242,-13,83132,30,-30,97.7,Found,New,Mac OS X 10_13,firefox 57.0,1920x1080,desktop,MacOS
3000246,-26,89509,26,-15,90.3,NotFound,New,iOS 11.1.2,firefox 57.0,1920x1080,desktop,MacOS
3000253,-2,33077,24,-22,93.4,NotFound,Found,Android 7.0,ie 11.0 for desktop,2208x1242,desktop,rv:11.0
3000263,-48,71710,12,-6,96.0,Found,New,Windows 10,chrome 62.0,2208x1242,desktop,rv:11.0
3000265,-44,30769,14,-4,91.1,NotFound,New,Mac OS X 10_13,ie 11.0 for desktop,1280x800,mobile,iOS Device
3000270,-5,79377,29,-2,96.6,NotFound,New,Mac OS X 10_13,ie 11.0 for desktop,1280x800,desktop,Windows
3000274,-31,39198,3,-19,96.8,Found,New,Android 7.0,mobile safari 11.0,1334x750,desktop,Windows
3000277,-45,73712,27,-15,92.0,Found,Found,Android 7.0,chrome 62.0,1920x1080,mobile,iOS Device
3000279,-41,6577,14,-17,97.1,Found,Found,iOS 11.1.2,ie 11.0 for desktop,1334x750,desktop,MacOS
3000281,-40,74618,17,-10,94.7,NotFound,Unknown,iOS 11.1.2,chrome 62.0,1334x750,desktop,rv:11.0
3000284,-4,89625,18,-3,98.6,NotFound,New,Windows 10,chrome 62.0,1334x750,desktop,MacOS
3000289,-32,22351,18,-26,93.2,Found,New,Windows 10,ie 11.0 for desktop,1280x800,desktop,rv:11.0
3000290,-22,21848,3,-6,99.1,NotFound,New,iOS 11.1.2,chrome 62.0,1920x1080,mobile,iOS Device
3000291,-25,16619,20,-21,94.5,NotFound,Unknown,Android 7.0,mobile safari 11.0,1334x750,desktop,MacOS
3000297,-46,66807,5,-16,92.7,NotFound,Unknown,Windows 10,ie 11.0 for desktop,1920x1080,desktop,rv:11.0
3000298,-15,56345,2,-28,90.9,NotFound,Found,Android 7.0,mobile safari 11.0,1334x750,desktop,rv:11.0
3000302,-10,65167,19,-27,94.8,NotFound,Found,Windows 10,mobile safari 11.0,1334x750,desktop,rv:11.0
3000303,-11,22711,28,-25,99.2,NotFound,New,Windows 10,mobile safari 11.0,2208x1242,desktop,rv:11.0
3000308,-49,59767,12,-20,98.0,NotFound,Found,Mac OS X 10_13,ie 11.0 for desktop,2208x1242,desktop,MacOS
3000312,-22,48022,30,-14,93.1,NotFound,Found,iOS 11.1.2,ie 11.0 for desktop,2208x1242,desktop,rv:11.0
3000314,-20,55689,29,-16,99.1,Found,Found,iOS 11.1.2,firefox 57.0,2208x1242,desktop,Windows
3000317,-15,73299,23,-6,93.4,Found,Unknown,Mac OS X 10_13,mobile safari 11.0,2208x1242,desktop,rv:11.0
3000319,-14,25582,15,-13,92.4,NotFound,New,Android 7.0,mobile safari 11.0,2208x1242,desktop,MacOS
3000322,-4,41152,23,-6,94.2,NotFound,Unknown,iOS 11.1.2,firefox 57.0,2208x1242,desktop,Windows
3000326,-46,56328,23,-10,95.5,NotFound,Found,iOS 11.1.2,ie 11.0 for desktop,2208x1242,desktop,rv:11.0
3000327,-21,4440,1,-11,90.5,NotFound,New,Android 7.0,ie 11.0 for desktop,2208x1242,desktop,rv:11.0
3000329,-4,89572,11,-20,95.4,Found,Found,iOS 11.1.2,chrome 62.0,1920x1080,mobile,iOS Device
3000330,-17,62138,23,-2,97.9,Found,Unknown,iOS 11.1.2,mobile safari 11.0,1920x1080,desktop,rv:11.0
3000332,-35,65536,29,-18,94.3,Found,Unknown,Windows 10,chrome 62.0,1334x750,desktop,MacOS
3000334,-14,82105,25,-3,91.9,Found,New,Windows 10,mobile safari 11.0,1334x750,desktop,MacOS
3000336,-11,44888,26,-4,98.5,Found,New,Android 7.0,chrome 62.0,2208x1242,mobile,iOS Device
3000338,-31,35681,18,-29,97.3,Found,Unknown,Mac OS X 10_13,chrome 62.0,1334x750,desktop,MacOS
3000340,-17,86367,24,-1,91.7,Found,Found,Android 7.0,firefox 57.0,1920x1080,desktop,Windows
